BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
-,3.41,13265,5,7,4,1,stood,Verb,-,-,7,-,-,5,-,klyffth,97.43589744,97.43589744,word,1,[nonword_response],316,316
-,4.2,15011,5,6,4,1,month,Noun,-,-,7,-,-,5,-,phoults,97.46835443,97.46835443,word,1,[nonword_response],543,543
382,2.42,152626,2,42,2,1,my,Pronoun,2.41,3511,5,Noun,17,4,1,fault,97.5,97.5,word,1,[word_response],410,410
-,2.76,118700,5,22,4,1,first,Number,-,-,6,-,-,4,-,phylce,97.5308642,97.5308642,word,1,[nonword_response],461,461
-,3,1883295,2,39,2,1,in,Preposition,-,-,5,-,-,4,-,panck,97.56097561,97.56097561,word,1,[nonword_response],559,559
703,3.41,13265,5,7,4,1,stood,Verb,2.2,327968,5,Ex,19,3,1,there,97.59036145,97.59036145,word,1,[word_response],418,418
-,1.83,124885,4,1,4,2,also,Adverb,-,-,7,-,-,5,-,zoarlts,97.61904762,97.61904762,word,1,[nonword_response],400,400
-,1.74,206627,3,41,2,1,who,Pronoun,-,-,8,-,-,5,-,queaffth,97.64705882,97.64705882,word,1,[nonword_response],362,362
773,1.89,153847,4,37,3,1,like,Preposition,3.04,173418,4,Pronoun,10,3,1,them,97.6744186,97.6744186,word,1,[word_response],348,348
-,3.08,358792,2,42,2,1,we,Pronoun,-,-,8,-,-,6,-,cwoscked,97.70114943,97.70114943,word,1,[nonword_response],281,281
20,2.67,388,7,12,5,2,leasing,Verb,1.52,2682878,3,Conjunction,16,3,1,and,97.72727273,97.72727273,word,1,[word_response],336,336
216,1.93,89068,5,18,4,2,being,Verb,2.79,14306,4,Verb,25,4,1,kept,97.75280899,97.75280899,word,1,[word_response],406,406
-,2.76,4800,7,13,5,2,passing,Verb,-,-,4,-,-,4,-,colf,97.77777778,97.77777778,word,1,[nonword_response],389,389
365,3.25,724197,2,27,2,1,on,Preposition,4.72,35352,4,Noun,22,4,1,hand,97.8021978,97.8021978,word,1,[word_response],333,333
19,1.44,48090,6,18,4,2,really,Adverb,3.55,3518,5,Verb,19,4,1,stuck,97.82608696,97.82608696,word,1,[word_response],334,334
-,2.64,254566,4,50,3,1,will,Verb,-,-,4,-,-,3,-,cawb,96.77419355,96.77419355,word,0,[nonword_response],309,309
1289,1.46,344046,2,45,2,1,an,Article,2.33,7793,6,Noun,2,4,2,effort,96.80851064,96.80851064,word,1,[word_response],575,575
-,1.59,998867,2,30,2,1,is,Verb,-,-,6,-,-,4,-,myndge,96.84210526,96.84210526,word,1,[nonword_response],325,325
-,1.91,35972,6,22,4,2,better,Adverb,-,-,6,-,-,4,-,gwurce,96.875,96.875,word,1,[nonword_response],346,346
-,1.96,470949,3,36,2,1,are,Verb,-,-,6,-,-,3,-,therge,95.87628866,95.87628866,word,0,[nonword_response],371,371
